Open_Time_NY,Open,High,Low,Close,Volume,Close_Time_NY
2025-12-16 00:00,12.68,12.78,11.91,12.07,632620.99,2025-12-17 18:59
2025-12-17 00:00,12.08,12.43,11.47,11.63,592482.88,2025-12-18 18:59
2025-12-18 00:00,11.63,12.52,11.53,12.35,464390.83,2025-12-19 18:59
2025-12-19 00:00,12.36,12.61,12.3,12.37,171418.15,2025-12-20 18:59
2025-12-20 00:00,12.36,12.42,12.01,12.21,161783.6,2025-12-21 18:59
2025-12-21 00:00,12.22,12.5,12.07,12.27,284254.14,2025-12-22 18:59
2025-12-22 00:00,12.27,12.34,11.88,12.07,202944.6,2025-12-23 18:59
2025-12-23 00:00,12.07,12.11,11.8,12.01,147475.8,2025-12-24 18:59
2025-12-24 00:00,12.02,12.14,11.64,11.65,271551.98,2025-12-25 18:59
2025-12-25 00:00,11.65,12.03,11.55,11.72,308809.13,2025-12-26 18:59
2025-12-26 00:00,11.72,12.28,11.65,12.23,281383.08,2025-12-27 18:59
2025-12-27 00:00,12.23,12.33,12.02,12.2,262657.36,2025-12-28 18:59
2025-12-28 00:00,12.21,12.49,11.87,11.93,335776.23,2025-12-29 18:59
2025-12-29 00:00,11.93,12.07,11.81,11.88,324762.54,2025-12-30 18:59
2025-12-30 00:00,11.88,11.95,11.31,11.48,317562.78,2025-12-31 18:59
2025-12-31 00:00,11.47,12.16,11.46,12.06,488751.9,2026-01-01 18:59
2026-01-01 00:00,12.07,12.6,11.91,12.52,461378.51,2026-01-02 18:59
2026-01-02 00:00,12.53,12.7,12.26,12.56,256592.68,2026-01-03 18:59
2026-01-03 00:00,12.56,12.93,12.56,12.82,324478.47,2026-01-04 18:59
2026-01-04 00:00,12.81,13.42,12.79,13.31,536618.55,2026-01-05 18:59
2026-01-05 00:00,13.31,13.55,12.78,13.37,386079.39,2026-01-06 18:59
2026-01-06 00:00,13.37,13.37,12.7,12.88,254357.28,2026-01-07 18:59
2026-01-07 00:00,12.87,12.97,12.33,12.61,269558.61,2026-01-08 18:59
2026-01-08 00:00,12.61,12.96,12.48,12.61,231465.58,2026-01-09 18:59
2026-01-09 00:00,12.6,12.72,12.46,12.54,118695.16,2026-01-10 18:59
2026-01-10 00:00,12.54,12.63,12.21,12.37,181809.26,2026-01-11 18:59
2026-01-11 00:00,12.37,12.71,12.1,12.26,257518.02,2026-01-12 18:59
2026-01-12 00:00,12.26,13.5,12.24,13.29,577222.11,2026-01-13 18:59
2026-01-13 00:00,13.3,13.52,13.07,13.2,530513.73,2026-01-14 18:59
2026-01-14 00:00,13.2,13.2,12.43,12.65,380872.03,2026-01-15 18:59
2026-01-15 00:00,12.64,12.88,12.26,12.76,378814.92,2026-01-16 18:59
2026-01-16 00:00,12.76,13.19,12.7,12.85,364414.32,2026-01-17 18:59
2026-01-17 00:00,12.85,12.94,12.22,12.24,516577.44,2026-01-18 18:59
2026-01-18 00:00,12.23,12.23,11.15,12.03,944909.04,2026-01-19 18:59
2026-01-19 00:00,12.02,12.08,11.34,11.54,445975.78,2026-01-20 18:59
2026-01-20 00:00,11.54,11.9,11.31,11.66,476682.71,2026-01-21 18:59
2026-01-21 00:00,11.66,11.81,11.41,11.58,419564.7,2026-01-22 18:59
2026-01-22 00:00,11.58,11.84,11.47,11.67,266247.91,2026-01-23 18:59
2026-01-23 00:00,11.67,11.73,11.55,11.59,110375.16,2026-01-24 18:59
2026-01-24 00:00,11.59,11.62,11.0,11.14,438872.11,2026-01-25 18:59
2026-01-25 00:00,11.13,11.53,11.11,11.39,382505.1,2026-01-26 18:59
2026-01-26 00:00,11.39,11.63,11.21,11.58,307715.2,2026-01-27 18:59
2026-01-27 00:00,11.59,11.62,11.4,11.55,253639.92,2026-01-28 18:59
2026-01-28 00:00,11.54,11.58,10.58,10.81,667213.79,2026-01-29 18:59
2026-01-29 00:00,10.8,10.87,10.4,10.6,799742.49,2026-01-30 18:59
2026-01-30 00:00,10.6,10.65,9.01,9.76,1341819.93,2026-01-31 18:59
2026-01-31 00:00,9.77,9.93,9.29,9.5,638389.05,2026-02-01 18:59
2026-02-01 00:00,9.51,9.94,9.2,9.81,533338.14,2026-02-02 18:59
2026-02-02 00:00,9.81,9.94,9.19,9.57,649968.07,2026-02-03 18:59
2026-02-03 00:00,9.57,9.8,9.16,9.34,846417.23,2026-02-04 18:59
2026-02-04 00:00,9.34,9.44,7.92,8.06,1990113.54,2026-02-05 18:59
2026-02-05 00:00,8.06,9.01,7.15,8.84,1848557.9,2026-02-06 18:59
2026-02-06 00:00,8.83,8.92,8.45,8.78,887659.71,2026-02-07 18:59
2026-02-07 00:00,8.78,8.79,8.48,8.57,370547.61,2026-02-08 18:59
2026-02-08 00:00,8.57,8.72,8.21,8.59,434231.58,2026-02-09 18:59
2026-02-09 00:00,8.6,8.63,8.25,8.33,407894.38,2026-02-10 18:59
2026-02-10 00:00,8.34,8.44,7.95,8.14,639909.23,2026-02-11 18:59
2026-02-11 00:00,8.13,8.43,7.99,8.25,656139.09,2026-02-12 18:59
2026-02-12 00:00,8.25,8.61,8.1,8.53,389763.91,2026-02-13 18:59
2026-02-13 00:00,8.53,9.07,8.53,9.0,542914.63,2026-02-14 18:59
2026-02-14 00:00,9.0,9.16,8.6,8.74,437294.56,2026-02-15 18:59
2026-02-15 00:00,8.74,8.9,8.6,8.84,284328.97,2026-02-16 18:59
2026-02-16 00:00,8.85,8.86,8.58,8.68,227973.78,2026-02-17 18:59
2026-02-17 00:00,8.69,8.79,8.38,8.44,182623.03,2026-02-18 18:59
2026-02-18 00:00,8.44,8.49,8.16,8.27,261766.08,2026-02-19 18:59
2026-02-19 00:00,8.27,8.78,8.19,8.76,439039.48,2026-02-20 18:59
2026-02-20 00:00,8.75,9.79,8.69,9.05,1293392.6,2026-02-21 18:59
2026-02-21 00:00,9.04,9.04,8.45,8.52,380826.95,2026-02-22 18:59
2026-02-22 00:00,8.51,8.54,8.1,8.36,577500.78,2026-02-23 18:59
2026-02-23 00:00,8.37,8.45,8.08,8.3,449339.14,2026-02-24 18:59
2026-02-24 00:00,8.3,9.64,8.27,9.15,787312.56,2026-02-25 18:59
2026-02-25 00:00,9.16,9.26,8.66,8.86,555480.04,2026-02-26 18:59
2026-02-26 00:00,8.86,9.08,8.47,8.65,512673.11,2026-02-27 18:59
2026-02-27 00:00,8.64,8.75,8.12,8.68,552002.78,2026-02-28 18:59
2026-02-28 00:00,8.68,8.92,8.31,8.47,353317.89,2026-03-01 18:59
2026-03-01 00:00,8.48,8.97,8.44,8.72,353767.03,2026-03-02 18:59
2026-03-02 00:00,8.72,8.74,8.32,8.49,338159.62,2026-03-03 18:59
2026-03-03 00:00,8.5,9.02,8.37,8.85,524710.08,2026-03-04 18:59
2026-03-04 00:00,8.85,8.95,8.51,8.65,484214.39,2026-03-05 18:59
2026-03-05 00:00,8.65,8.73,8.12,8.25,360539.16,2026-03-06 18:59
2026-03-06 00:00,8.25,8.29,8.04,8.12,245584.75,2026-03-07 18:59
2026-03-07 00:00,8.12,8.19,7.87,7.99,371504.61,2026-03-08 19:59
2026-03-08 00:00,7.99,8.36,7.98,8.16,264403.22,2026-03-09 19:59
2026-03-09 00:00,8.16,8.54,8.15,8.23,389991.24,2026-03-10 19:59
2026-03-10 00:00,8.24,8.43,8.13,8.28,351346.78,2026-03-11 19:59
2026-03-11 00:00,8.29,8.32,8.11,8.27,204789.31,2026-03-12 19:59
2026-03-12 00:00,8.27,8.85,8.25,8.49,501381.03,2026-03-13 19:59
2026-03-13 00:00,8.48,8.52,8.18,8.26,247821.3,2026-03-14 19:59
2026-03-14 00:00,8.26,8.52,8.19,8.48,282231.22,2026-03-15 19:59
2026-03-15 00:00,8.48,9.23,8.44,9.03,809200.95,2026-03-16 19:59
2026-03-16 00:00,9.03,9.09,8.76,8.86,293946.98,2026-03-17 19:59
2026-03-17 00:00,8.87,8.96,8.3,8.51,297415.45,2026-03-18 19:59
2026-03-18 00:00,8.51,8.66,8.24,8.34,236287.55,2026-03-19 19:59
2026-03-19 00:00,8.35,8.52,8.3,8.41,139840.43,2026-03-20 19:59
2026-03-20 00:00,8.41,8.47,8.1,8.18,128878.93,2026-03-21 19:59
